Team 1,Team 2,Winner,Ground,Match Date,Margin Value,Margin Type
England,Australia,England,Manchester,02-06-77,2,wickets
England,Australia,England,Birmingham,04-06-77,101,runs
England,Australia,Australia,The Oval,06-06-77,2,wickets
Pakistan,England,England,Sahiwal,23-12-77,3,wickets
Pakistan,England,England,Sialkot,30-12-77,6,wickets
Pakistan,England,Pakistan,Lahore,13-01-78,36,runs
West Indies,Australia,West Indies,St John's,22-02-78,44,runs
West Indies,Australia,Australia,Castries,12-04-78,2,wickets
England,Pakistan,England,The Oval,26-05-78,94,runs
England,New Zealand,England,Scarborough,15-07-78,19,runs
England,New Zealand,England,Manchester,17-07-78,126,runs
Pakistan,India,India,Quetta,01-10-78,4,runs
Pakistan,India,Pakistan,Sialkot,13-10-78,8,wickets
Pakistan,India,Pakistan,Sahiwal,03-11-78,8,wickets
Australia,England,no result,Sydney,13-01-79,7,wickets
Australia,England,England,Melbourne,24-01-79,7,wickets
Australia,England,Australia,Melbourne,04-02-79,4,wickets
Australia,England,Australia,Melbourne,07-02-79,6,wickets
England,Australia,England,Lord's,09-06-79,6,wickets
Canada,Pakistan,Pakistan,Leeds,09-06-79,8,wickets
India,West Indies,West Indies,Birmingham,09-06-79,9,wickets
New Zealand,Sri Lanka,New Zealand,Nottingham,09-06-79,9,wickets
India,New Zealand,New Zealand,Leeds,13-06-79,8,wickets
New Zealand,West Indies,West Indies,Nottingham,16-06-79,32,runs
Australia,Canada,Australia,Birmingham,16-06-79,7,wickets
England,Pakistan,England,Leeds,16-06-79,14,runs
England,New Zealand,England,Manchester,20-06-79,9,runs
Pakistan,West Indies,West Indies,The Oval,20-06-79,43,runs
England,West Indies,West Indies,Lord's,23-06-79,92,runs
Australia,West Indies,Australia,Sydney,27-11-79,5,wickets
England,West Indies,England,Sydney,28-11-79,2,runs
Australia,England,England,Melbourne,08-12-79,3,wickets
Australia,West Indies,West Indies,Melbourne,09-12-79,80,runs
Australia,England,England,Sydney,11-12-79,72,runs
Australia,West Indies,Australia,Sydney,21-12-79,7,runs
England,West Indies,West Indies,Brisbane,23-12-79,9,wickets
Australia,England,England,Sydney,26-12-79,4,wickets
Australia,England,England,Sydney,14-01-80,2,wickets
England,West Indies,West Indies,Adelaide,16-01-80,107,runs
Australia,West Indies,Australia,Sydney,18-01-80,9,runs
England,West Indies,West Indies,Melbourne,20-01-80,2,runs
England,West Indies,West Indies,Sydney,22-01-80,8,wickets
New Zealand,West Indies,New Zealand,Christchurch,06-02-80,1,wicket
England,West Indies,England,Lord's,30-05-80,3,wickets
England,Australia,England,The Oval,20-08-80,23,runs
England,Australia,England,Birmingham,22-08-80,47,runs
Pakistan,West Indies,West Indies,Karachi,21-11-80,4,wickets
Australia,New Zealand,New Zealand,Adelaide,23-11-80,3,wickets
Australia,New Zealand,Australia,Sydney,25-11-80,94,runs
Pakistan,West Indies,West Indies,Sialkot,05-12-80,7,wickets
Australia,India,India,Melbourne,06-12-80,66,runs
Australia,New Zealand,Australia,Melbourne,07-12-80,4,wickets
India,New Zealand,India,Perth,09-12-80,5,runs
Australia,India,Australia,Sydney,18-12-80,9,wickets
Pakistan,West Indies,West Indies,Lahore,19-12-80,7,runs
India,New Zealand,New Zealand,Brisbane,21-12-80,3,wickets
India,New Zealand,India,Adelaide,23-12-80,6,runs
Australia,India,Australia,Sydney,08-01-81,9,wickets
India,New Zealand,New Zealand,Melbourne,10-01-81,10,wickets
Australia,India,Australia,Melbourne,11-01-81,7,wickets
Australia,New Zealand,New Zealand,Sydney,13-01-81,1,run
Australia,India,Australia,Sydney,15-01-81,27,runs
India,New Zealand,New Zealand,Brisbane,18-01-81,22,runs
Australia,New Zealand,no result,Sydney,21-01-81,50,runs
Australia,New Zealand,New Zealand,Sydney,29-01-81,78,runs
Australia,New Zealand,Australia,Melbourne,31-01-81,7,wickets
Australia,New Zealand,Australia,Melbourne,01-02-81,6,runs
Australia,New Zealand,Australia,Sydney,03-02-81,6,wickets
West Indies,England,West Indies,Kingstown,04-02-81,2,runs
New Zealand,India,New Zealand,Auckland,14-02-81,78,runs
New Zealand,India,New Zealand,Hamilton,15-02-81,57,runs
West Indies,England,West Indies,Albion,26-02-81,6,wickets
England,Australia,England,Lord's,04-06-81,6,wickets
England,Australia,Australia,Birmingham,06-06-81,2,runs
England,Australia,Australia,Leeds,08-06-81,71,runs
Pakistan,West Indies,West Indies,Melbourne,21-11-81,18,runs
Australia,Pakistan,Pakistan,Melbourne,22-11-81,4,wickets
Australia,West Indies,Australia,Sydney,24-11-81,7,wickets
India,England,England,Ahmedabad,25-11-81,5,wickets
Pakistan,West Indies,Pakistan,Adelaide,05-12-81,8,runs
Australia,Pakistan,Australia,Adelaide,06-12-81,38,runs
Australia,Pakistan,Pakistan,Sydney,17-12-81,6,wickets
Pakistan,West Indies,West Indies,Perth,19-12-81,7,wickets
India,England,India,Jalandhar,20-12-81,6,wickets
Australia,West Indies,West Indies,Perth,20-12-81,8,wickets
Australia,Pakistan,Pakistan,Melbourne,09-01-82,25,runs
Australia,West Indies,West Indies,Melbourne,10-01-82,5,wickets
Pakistan,West Indies,West Indies,Sydney,12-01-82,7,wickets
Australia,Pakistan,Australia,Sydney,14-01-82,76,runs
Pakistan,West Indies,West Indies,Brisbane,16-01-82,1,wicket
Australia,West Indies,West Indies,Brisbane,17-01-82,5,wickets
Australia,West Indies,Australia,Sydney,19-01-82,5,runs
Australia,West Indies,West Indies,Melbourne,23-01-82,86,runs
Australia,West Indies,West Indies,Melbourne,24-01-82,128,runs
Australia,West Indies,Australia,Sydney,26-01-82,46,runs
Australia,West Indies,West Indies,Sydney,27-01-82,18,runs
India,England,India,Cuttack,27-01-82,5,wickets
Sri Lanka,England,England,Colombo (SSC),13-02-82,5,runs
New Zealand,Australia,New Zealand,Auckland,13-02-82,46,runs
Sri Lanka,England,Sri Lanka,Colombo (SSC),14-02-82,3,runs
New Zealand,Australia,Australia,Dunedin,17-02-82,6,wickets
New Zealand,Australia,Australia,Wellington,20-02-82,8,wickets
Pakistan,Sri Lanka,Pakistan,Karachi,12-03-82,8,wickets
Pakistan,Sri Lanka,Sri Lanka,Lahore,29-03-82,30,runs
Pakistan,Sri Lanka,Pakistan,Karachi,31-03-82,5,wickets
England,India,England,Leeds,02-06-82,9,wickets
England,India,England,The Oval,04-06-82,114,runs
England,Pakistan,England,Nottingham,17-07-82,7,wickets
England,Pakistan,England,Manchester,19-07-82,73,runs
India,Sri Lanka,India,Amritsar,12-09-82,78,runs
India,Sri Lanka,India,Delhi,15-09-82,6,wickets
Pakistan,Australia,Pakistan,Hyderabad (Sind),20-09-82,59,runs
India,Sri Lanka,India,Bengaluru,26-09-82,6,wickets
Pakistan,Australia,Pakistan,Lahore,08-10-82,28,runs
Pakistan,Australia,no result,Karachi,22-10-82,21,runs
Pakistan,India,Pakistan,Gujranwala,03-12-82,14,runs
Pakistan,India,Pakistan,Multan,17-12-82,37,runs
Pakistan,India,India,Lahore,31-12-82,18,runs
Australia,New Zealand,Australia,Melbourne,09-01-83,8,wickets
Australia,England,Australia,Sydney,11-01-83,31,runs
England,New Zealand,New Zealand,Melbourne,13-01-83,2,runs
England,New Zealand,England,Brisbane,15-01-83,54,runs
Australia,England,Australia,Brisbane,16-01-83,7,wickets
Australia,New Zealand,New Zealand,Sydney,18-01-83,47,runs
England,New Zealand,England,Sydney,20-01-83,8,wickets
Pakistan,India,Pakistan,Karachi,21-01-83,8,wickets
Australia,New Zealand,New Zealand,Melbourne,22-01-83,58,runs
Australia,England,Australia,Melbourne,23-01-83,5,wickets
Australia,England,England,Sydney,26-01-83,98,runs
England,New Zealand,New Zealand,Adelaide,29-01-83,4,wickets
Australia,England,England,Adelaide,30-01-83,14,runs
Australia,New Zealand,New Zealand,Adelaide,31-01-83,47,runs
England,New Zealand,New Zealand,Perth,05-02-83,7,wickets
Australia,New Zealand,Australia,Perth,06-02-83,27,runs
Australia,New Zealand,Australia,Sydney,09-02-83,6,wickets
Australia,New Zealand,Australia,Melbourne,13-02-83,149,runs
New Zealand,England,New Zealand,Auckland,19-02-83,6,wickets
New Zealand,England,New Zealand,Wellington,23-02-83,103,runs
New Zealand,England,New Zealand,Christchurch,26-02-83,84,runs
New Zealand,Sri Lanka,New Zealand,Dunedin,02-03-83,65,runs
West Indies,India,West Indies,Port of Spain,09-03-83,52,runs
Australia,New Zealand,New Zealand,Sydney,17-03-83,14,runs
New Zealand,Sri Lanka,New Zealand,Napier,19-03-83,7,wickets
New Zealand,Sri Lanka,New Zealand,Auckland,20-03-83,116,runs
West Indies,India,India,Albion,29-03-83,27,runs
West Indies,India,West Indies,St George's,07-04-83,7,wickets
Sri Lanka,Australia,Sri Lanka,Colombo (PSS),13-04-83,2,wickets
Sri Lanka,Australia,Sri Lanka,Colombo (PSS),16-04-83,4,wickets
Sri Lanka,Australia,no result,Colombo (SSC),29-04-83,38,wickets
Sri Lanka,Australia,no result,Colombo (SSC),30-04-83,72,wickets
England,New Zealand,England,The Oval,09-06-83,106,runs
Pakistan,Sri Lanka,Pakistan,Swansea,09-06-83,50,runs
Australia,Zimbabwe,Zimbabwe,Nottingham,09-06-83,13,runs
England,Sri Lanka,England,Taunton,11-06-83,47,runs
India,Zimbabwe,India,Leicester,11-06-83,5,wickets
Australia,India,Australia,Nottingham,13-06-83,162,runs
West Indies,Zimbabwe,West Indies,Worcester,13-06-83,8,wickets
England,Pakistan,England,Lord's,13-06-83,8,wickets
New Zealand,Sri Lanka,New Zealand,Bristol,13-06-83,5,wickets
India,West Indies,West Indies,The Oval,15-06-83,66,runs
England,New Zealand,New Zealand,Birmingham,15-06-83,2,wickets
Pakistan,Sri Lanka,Pakistan,Leeds,16-06-83,11,runs
Australia,Zimbabwe,Australia,Southampton,16-06-83,32,runs
England,Pakistan,England,Manchester,18-06-83,7,wickets
New Zealand,Sri Lanka,Sri Lanka,Derby,18-06-83,3,wickets
Australia,West Indies,West Indies,Lord's,18-06-83,7,wickets
India,Zimbabwe,India,Tunbridge Wells,18-06-83,31,runs
England,Sri Lanka,England,Leeds,20-06-83,9,wickets
New Zealand,Pakistan,Pakistan,Nottingham,20-06-83,11,runs
Australia,India,India,Chelmsford,20-06-83,118,runs
West Indies,Zimbabwe,West Indies,Birmingham,20-06-83,10,wickets
England,India,India,Manchester,22-06-83,6,wickets
Pakistan,West Indies,West Indies,The Oval,22-06-83,8,wickets
India,West Indies,India,Lord's,25-06-83,43,runs
India,Pakistan,India,Hyderabad (Deccan),10-09-83,4,wickets
India,Pakistan,India,Jaipur,02-10-83,4,wickets
India,West Indies,West Indies,Srinagar,13-10-83,28,runs
India,West Indies,West Indies,Vadodara,09-11-83,4,wickets
India,West Indies,West Indies,Indore,01-12-83,8,wickets
India,West Indies,West Indies,Jamshedpur,07-12-83,104,runs
India,West Indies,West Indies,Guwahati,17-12-83,6,wickets
Australia,West Indies,West Indies,Melbourne,08-01-84,27,runs
Australia,Pakistan,Australia,Sydney,10-01-84,34,runs
Pakistan,West Indies,Pakistan,Melbourne,12-01-84,97,runs
Pakistan,West Indies,West Indies,Brisbane,14-01-84,5,wickets
Australia,Pakistan,no result,Brisbane,15-01-84,16,wickets
Australia,West Indies,West Indies,Sydney,17-01-84,28,runs
Pakistan,West Indies,West Indies,Sydney,19-01-84,5,wickets
Australia,Pakistan,Australia,Melbourne,21-01-84,43,runs
Australia,West Indies,West Indies,Melbourne,22-01-84,26,runs
Australia,Pakistan,Australia,Sydney,25-01-84,87,runs
Pakistan,West Indies,West Indies,Adelaide,28-01-84,1,wicket
Australia,West Indies,West Indies,Adelaide,29-01-84,6,wickets
Australia,Pakistan,Australia,Adelaide,30-01-84,70,runs
Pakistan,West Indies,West Indies,Perth,04-02-84,7,wickets
Australia,West Indies,Australia,Perth,05-02-84,14,runs
Australia,West Indies,West Indies,Sydney,08-02-84,9,wickets
Australia,West Indies,tied,Melbourne,11-02-84,8,wickets
Australia,West Indies,West Indies,Melbourne,12-02-84,6,wickets
New Zealand,England,England,Christchurch,18-02-84,54,runs
New Zealand,England,England,Wellington,22-02-84,6,wickets
New Zealand,England,New Zealand,Auckland,25-02-84,7,wickets
West Indies,Australia,West Indies,Albion,29-02-84,8,wickets
Sri Lanka,New Zealand,New Zealand,Colombo (SSC),03-03-84,104,runs
Pakistan,England,Pakistan,Lahore,09-03-84,6,wickets
West Indies,Australia,Australia,Port of Spain,14-03-84,4,wickets
Pakistan,England,England,Karachi,26-03-84,6,wickets
Sri Lanka,New Zealand,Sri Lanka,Moratuwa,31-03-84,41,runs
Sri Lanka,New Zealand,New Zealand,Colombo (PSS),01-04-84,86,runs
Pakistan,Sri Lanka,Sri Lanka,Sharjah,06-04-84,5,wickets
India,Sri Lanka,India,Sharjah,08-04-84,10,wickets
India,Pakistan,India,Sharjah,13-04-84,54,runs
West Indies,Australia,West Indies,Castries,19-04-84,7,wickets
West Indies,Australia,West Indies,Kingston,26-04-84,9,wickets
England,West Indies,West Indies,Manchester,31-05-84,104,runs
England,West Indies,England,Nottingham,02-06-84,3,wickets
England,West Indies,West Indies,Lord's,04-06-84,8,wickets
India,Australia,Australia,New Delhi,28-09-84,48,runs
India,Australia,no result,Thiruvananthapuram,01-10-84,34,runs
India,Australia,no result,Jamshedpur,03-10-84,21,runs
India,Australia,Australia,Ahmedabad,05-10-84,7,wickets
India,Australia,Australia,Indore,06-10-84,6,wickets
Pakistan,India,Pakistan,Quetta,12-10-84,46,runs
Pakistan,India,no result,Sialkot,31-10-84,25,runs
Sri Lanka,New Zealand,Sri Lanka,Colombo (PSS),03-11-84,4,wickets
Sri Lanka,New Zealand,New Zealand,Moratuwa,04-11-84,7,wickets
Pakistan,New Zealand,Pakistan,Peshawar,12-11-84,46,runs
Pakistan,New Zealand,Pakistan,Faisalabad,23-11-84,5,runs
Pakistan,New Zealand,New Zealand,Sialkot,02-12-84,34,runs
India,England,England,Pune,05-12-84,4,wickets
Pakistan,New Zealand,Pakistan,Multan,07-12-84,1,wicket
India,England,England,Cuttack,27-12-84,1,run
Australia,West Indies,West Indies,Melbourne,06-01-85,7,wickets
Australia,Sri Lanka,Australia,Sydney,08-01-85,6,wickets
Sri Lanka,West Indies,West Indies,Hobart,10-01-85,8,wickets
Sri Lanka,West Indies,West Indies,Brisbane,12-01-85,90,runs
New Zealand,Pakistan,New Zealand,Napier,12-01-85,110,runs
Australia,West Indies,West Indies,Brisbane,13-01-85,5,wickets
New Zealand,Pakistan,New Zealand,Hamilton,15-01-85,4,wickets
Australia,West Indies,West Indies,Sydney,15-01-85,5,wickets
Sri Lanka,West Indies,West Indies,Sydney,17-01-85,65,runs
Australia,Sri Lanka,Sri Lanka,Melbourne,19-01-85,4,wickets
Australia,West Indies,West Indies,Melbourne,20-01-85,65,runs
India,England,England,Bengaluru,20-01-85,3,wickets
Australia,Sri Lanka,Australia,Sydney,23-01-85,3,wickets
India,England,India,Nagpur,23-01-85,3,wickets
Sri Lanka,West Indies,West Indies,Adelaide,26-01-85,8,wickets
Australia,West Indies,West Indies,Adelaide,27-01-85,6,wickets
India,England,England,Chandigarh,27-01-85,7,runs
Australia,Sri Lanka,Australia,Adelaide,28-01-85,232,runs
Sri Lanka,West Indies,West Indies,Perth,02-02-85,82,runs
Australia,Sri Lanka,Australia,Perth,03-02-85,9,wickets
New Zealand,Pakistan,New Zealand,Christchurch,06-02-85,13,runs
Australia,West Indies,Australia,Sydney,06-02-85,26,runs
Australia,West Indies,West Indies,Melbourne,10-02-85,4,wickets
Australia,West Indies,West Indies,Sydney,12-02-85,7,wickets
Australia,England,Australia,Melbourne,17-02-85,7,wickets
India,Pakistan,India,Melbourne,20-02-85,6,wickets
New Zealand,Sri Lanka,New Zealand,Melbourne,23-02-85,51,runs
Australia,Pakistan,Pakistan,Melbourne,24-02-85,62,runs
England,India,India,Sydney,26-02-85,86,runs
Sri Lanka,West Indies,West Indies,Melbourne,27-02-85,8,wickets
England,Pakistan,Pakistan,Melbourne,02-03-85,67,runs
Australia,India,India,Melbourne,03-03-85,8,wickets
India,New Zealand,India,Sydney,05-03-85,7,wickets
Pakistan,West Indies,Pakistan,Melbourne,06-03-85,7,wickets
New Zealand,West Indies,West Indies,Sydney,09-03-85,6,wickets
India,Pakistan,India,Melbourne,10-03-85,8,wickets
West Indies,New Zealand,West Indies,St John's,20-03-85,23,runs
India,Pakistan,India,Sharjah,22-03-85,38,runs
Australia,England,Australia,Sharjah,24-03-85,2,wickets
England,Pakistan,Pakistan,Sharjah,26-03-85,43,runs
West Indies,New Zealand,West Indies,Port of Spain,27-03-85,6,wickets
Australia,India,India,Sharjah,29-03-85,3,wickets
West Indies,New Zealand,West Indies,Albion,14-04-85,130,runs
West Indies,New Zealand,West Indies,Port of Spain,17-04-85,10,wickets
West Indies,New Zealand,West Indies,Bridgetown,23-04-85,112,runs
England,Australia,Australia,Manchester,30-05-85,3,wickets
England,Australia,Australia,Birmingham,01-06-85,4,wickets
England,Australia,England,Lord's,03-06-85,8,wickets
Sri Lanka,India,India,Colombo (SSC),25-08-85,2,wickets
Sri Lanka,India,Sri Lanka,Colombo (PSS),21-09-85,14,runs
Sri Lanka,India,no result,Colombo (PSS),22-09-85,11,runs
Pakistan,Sri Lanka,Pakistan,Peshawar,13-10-85,8,wickets
Pakistan,Sri Lanka,Pakistan,Gujranwala,23-10-85,15,runs
Pakistan,Sri Lanka,Pakistan,Lahore,25-10-85,5,wickets
Pakistan,Sri Lanka,Pakistan,Hyderabad (Sind),03-11-85,89,runs
Pakistan,West Indies,West Indies,Sharjah,15-11-85,7,wickets
India,Pakistan,Pakistan,Sharjah,17-11-85,48,runs
India,West Indies,West Indies,Sharjah,22-11-85,8,wickets
Pakistan,West Indies,West Indies,Gujranwala,27-11-85,8,wickets
Pakistan,West Indies,Pakistan,Lahore,29-11-85,6,wickets
Pakistan,West Indies,West Indies,Peshawar,02-12-85,40,runs
Pakistan,West Indies,Pakistan,Rawalpindi,04-12-85,5,wickets
Pakistan,West Indies,West Indies,Karachi,06-12-85,8,wickets
Australia,New Zealand,no result,Melbourne,09-01-86,6,wickets
India,New Zealand,India,Brisbane,11-01-86,5,wickets
Australia,India,Australia,Brisbane,12-01-86,4,wickets
Australia,New Zealand,Australia,Sydney,14-01-86,4,wickets
Australia,India,India,Melbourne,16-01-86,8,wickets
India,New Zealand,New Zealand,Perth,18-01-86,3,wickets
Australia,New Zealand,Australia,Perth,19-01-86,4,wickets
Australia,India,Australia,Sydney,21-01-86,100,runs
India,New Zealand,New Zealand,Melbourne,23-01-86,5,wickets
India,New Zealand,India,Adelaide,25-01-86,5,wickets
Australia,India,Australia,Adelaide,26-01-86,36,runs
Australia,New Zealand,New Zealand,Adelaide,27-01-86,206,runs
Australia,New Zealand,Australia,Sydney,29-01-86,99,runs
Australia,India,India,Melbourne,31-01-86,6,wickets
India,New Zealand,India,Launceston,02-02-86,22,runs
Australia,India,Australia,Sydney,05-02-86,11,runs
Australia,India,Australia,Melbourne,09-02-86,7,wickets
West Indies,England,West Indies,Kingston,18-02-86,6,wickets
Sri Lanka,Pakistan,Pakistan,Kandy,02-03-86,8,wickets
West Indies,England,England,Port of Spain,04-03-86,5,wickets
Sri Lanka,Pakistan,no result,Moratuwa,08-03-86,6,wickets
Sri Lanka,Pakistan,Pakistan,Colombo (SSC),11-03-86,8,wickets
New Zealand,Australia,New Zealand,Dunedin,19-03-86,30,runs
West Indies,England,West Indies,Bridgetown,19-03-86,135,runs
New Zealand,Australia,New Zealand,Christchurch,22-03-86,53,runs
New Zealand,Australia,Australia,Wellington,26-03-86,3,wickets
New Zealand,Australia,Australia,Auckland,29-03-86,44,runs
Sri Lanka,Pakistan,Pakistan,Colombo (PSS),30-03-86,81,runs
Bangladesh,Pakistan,Pakistan,Moratuwa,31-03-86,7,wickets
West Indies,England,West Indies,Port of Spain,31-03-86,8,wickets
Sri Lanka,Bangladesh,Sri Lanka,Kandy,02-04-86,7,wickets
Sri Lanka,New Zealand,New Zealand,Colombo (RPS),05-04-86,6,wickets
Sri Lanka,Pakistan,Sri Lanka,Colombo (SSC),06-04-86,5,wickets
New Zealand,Pakistan,Pakistan,Colombo (SSC),07-04-86,4,wickets
India,New Zealand,India,Sharjah,10-04-86,3,wickets
Australia,Pakistan,Pakistan,Sharjah,11-04-86,8,wickets
India,Sri Lanka,India,Sharjah,13-04-86,3,wickets
New Zealand,Pakistan,Pakistan,Sharjah,15-04-86,10,wickets
India,Pakistan,Pakistan,Sharjah,18-04-86,1,wicket
England,India,India,The Oval,24-05-86,9,wickets
England,India,England,Manchester,26-05-86,5,wickets
England,New Zealand,New Zealand,Leeds,16-07-86,47,runs
England,New Zealand,England,Manchester,18-07-86,6,wickets
India,Australia,India,Jaipur,07-09-86,7,wickets
India,Australia,Australia,Srinagar,09-09-86,3,wickets
India,Australia,no result,Hyderabad (Deccan),24-09-86,3,wickets
India,Australia,India,Delhi,02-10-86,3,wickets
India,Australia,India,Ahmedabad,05-10-86,52,runs
India,Australia,Australia,Rajkot,07-10-86,7,wickets
Pakistan,West Indies,West Indies,Peshawar,17-10-86,4,wickets
Pakistan,West Indies,West Indies,Gujranwala,04-11-86,17,runs
Pakistan,West Indies,West Indies,Sialkot,14-11-86,4,wickets
Pakistan,West Indies,West Indies,Multan,17-11-86,89,runs
Pakistan,West Indies,Pakistan,Hyderabad (Sind),18-11-86,11,runs
India,Sri Lanka,India,Sharjah,27-11-86,7,wickets
Pakistan,West Indies,West Indies,Sharjah,28-11-86,9,wickets
India,West Indies,West Indies,Sharjah,30-11-86,33,runs
Pakistan,Sri Lanka,Pakistan,Sharjah,02-12-86,4,wickets
Sri Lanka,West Indies,West Indies,Sharjah,03-12-86,193,runs
India,Pakistan,Pakistan,Sharjah,05-12-86,3,wickets
India,Sri Lanka,Sri Lanka,Kanpur,24-12-86,117,runs
Pakistan,West Indies,Pakistan,Perth,30-12-86,34,runs
Australia,England,England,Perth,01-01-87,37,runs
Australia,Pakistan,Pakistan,Perth,02-01-87,1,wicket
England,West Indies,England,Perth,03-01-87,19,runs
Australia,West Indies,West Indies,Perth,04-01-87,164,runs
England,Pakistan,England,Perth,05-01-87,3,wickets
England,Pakistan,England,Perth,07-01-87,5,wickets
India,Sri Lanka,India,Guwahati,11-01-87,8,wickets
India,Sri Lanka,India,Delhi,13-01-87,6,wickets
India,Sri Lanka,India,Vadodara,15-01-87,94,runs
England,West Indies,England,Brisbane,17-01-87,6,wickets
India,Sri Lanka,India,Mumbai,17-01-87,10,runs
Australia,England,Australia,Brisbane,18-01-87,11,runs
Australia,West Indies,West Indies,Melbourne,20-01-87,7,wickets
Australia,England,England,Sydney,22-01-87,3,wickets
England,West Indies,England,Adelaide,24-01-87,89,runs
Australia,West Indies,West Indies,Adelaide,25-01-87,16,runs
Australia,England,Australia,Adelaide,26-01-87,33,runs
India,Pakistan,Pakistan,Indore,27-01-87,3,wickets
Australia,West Indies,Australia,Sydney,28-01-87,36,runs
England,West Indies,West Indies,Melbourne,30-01-87,6,wickets
Australia,England,Australia,Melbourne,01-02-87,109,runs
England,West Indies,England,Devonport,03-02-87,29,runs
Australia,West Indies,Australia,Sydney,06-02-87,2,wickets
Australia,England,England,Melbourne,08-02-87,6,wickets
Australia,England,England,Sydney,11-02-87,8,runs
India,Pakistan,Pakistan,Kolkata,18-02-87,2,wickets
New Zealand,West Indies,West Indies,Dunedin,18-03-87,95,runs
India,Pakistan,India,Hyderabad (Deccan),20-03-87,50,runs
New Zealand,West Indies,West Indies,Auckland,21-03-87,6,wickets
India,Pakistan,Pakistan,Pune,22-03-87,6,wickets
India,Pakistan,Pakistan,Nagpur,24-03-87,41,runs
India,Pakistan,Pakistan,Jamshedpur,26-03-87,5,wickets
New Zealand,West Indies,West Indies,Christchurch,28-03-87,10,wickets
England,India,India,Sharjah,02-04-87,3,wickets
Australia,Pakistan,Pakistan,Sharjah,03-04-87,6,wickets
Australia,India,India,Sharjah,05-04-87,7,wickets
England,Pakistan,England,Sharjah,07-04-87,5,wickets
Australia,England,England,Sharjah,09-04-87,11,runs
India,Pakistan,Pakistan,Sharjah,10-04-87,8,wickets
England,Pakistan,England,The Oval,21-05-87,7,wickets
England,Pakistan,Pakistan,Nottingham,23-05-87,6,wickets
England,Pakistan,England,Birmingham,25-05-87,1,wicket
Pakistan,Sri Lanka,Pakistan,Hyderabad (Sind),08-10-87,15,runs
England,West Indies,England,Gujranwala,09-10-87,2,wickets
India,Australia,Australia,Chennai,09-10-87,1,run
New Zealand,Zimbabwe,New Zealand,Hyderabad (Deccan),10-10-87,3,runs
Sri Lanka,West Indies,West Indies,Karachi,13-10-87,191,runs
Australia,Zimbabwe,Australia,Chennai,13-10-87,96,runs
India,New Zealand,India,Bengaluru,14-10-87,16,runs
Pakistan,West Indies,Pakistan,Lahore,16-10-87,1,wicket
India,Zimbabwe,India,Mumbai,17-10-87,8,wickets
England,Sri Lanka,England,Peshawar,17-10-87,108,runs
Pakistan,England,Pakistan,Karachi,20-10-87,7,wickets
Sri Lanka,West Indies,West Indies,Kanpur,21-10-87,25,runs
India,Australia,India,Delhi,22-10-87,56,runs
New Zealand,Zimbabwe,New Zealand,Kolkata,23-10-87,4,wickets
Pakistan,Sri Lanka,Pakistan,Faisalabad,25-10-87,113,runs
England,West Indies,England,Jaipur,26-10-87,34,runs
India,Zimbabwe,India,Ahmedabad,26-10-87,7,wickets
Australia,New Zealand,Australia,Chandigarh,27-10-87,17,runs
