Team 1,Team 2,Winner,Ground,Match Date,Margin Value,Margin Type
India,New Zealand,India,Perth,1980-12-09,5,runs
Australia,India,Australia,Sydney,1980-12-18,9,wickets
Pakistan,West Indies,West Indies,Lahore,1980-12-19,7,runs
India,New Zealand,New Zealand,Brisbane,1980-12-21,3,wickets
India,New Zealand,India,Adelaide,1980-12-23,6,runs
Australia,India,Australia,Sydney,1981-01-08,9,wickets
India,New Zealand,New Zealand,Melbourne,1981-01-10,10,wickets
Australia,India,Australia,Melbourne,1981-01-11,7,wickets
Australia,New Zealand,New Zealand,Sydney,1981-01-13,1,run
Australia,India,Australia,Sydney,1981-01-15,27,runs
India,New Zealand,New Zealand,Brisbane,1981-01-18,22,runs
Australia,New Zealand,no result,Sydney,1981-01-21,,
Australia,New Zealand,New Zealand,Sydney,1981-01-29,78,runs
Australia,New Zealand,Australia,Melbourne,1981-01-31,7,wickets
Australia,New Zealand,Australia,Melbourne,1981-02-01,6,runs
Australia,New Zealand,Australia,Sydney,1981-02-03,6,wickets
West Indies,England,West Indies,Kingstown,1981-02-04,2,runs
New Zealand,India,New Zealand,Auckland,1981-02-14,78,runs
New Zealand,India,New Zealand,Hamilton,1981-02-15,57,runs
West Indies,England,West Indies,Albion,1981-02-26,6,wickets
England,Australia,England,Lord's,1981-06-04,6,wickets
England,Australia,Australia,Birmingham,1981-06-06,2,runs
England,Australia,Australia,Leeds,1981-06-08,71,runs
Pakistan,West Indies,West Indies,Melbourne,1981-11-21,18,runs
Australia,Pakistan,Pakistan,Melbourne,1981-11-22,4,wickets
Australia,West Indies,Australia,Sydney,1981-11-24,7,wickets
India,England,England,Ahmedabad,1981-11-25,5,wickets
Pakistan,West Indies,Pakistan,Adelaide,1981-12-05,8,runs
Australia,Pakistan,Australia,Adelaide,1981-12-06,38,runs
Australia,Pakistan,Pakistan,Sydney,1981-12-17,6,wickets
Pakistan,West Indies,West Indies,Perth,1981-12-19,7,wickets
Australia,West Indies,West Indies,Perth,1981-12-20,8,wickets
India,England,India,Jalandhar,1981-12-20,6,wickets
Australia,Pakistan,Pakistan,Melbourne,1982-01-09,25,runs
Australia,West Indies,West Indies,Melbourne,1982-01-10,5,wickets
Pakistan,West Indies,West Indies,Sydney,1982-01-12,7,wickets
Australia,Pakistan,Australia,Sydney,1982-01-14,76,runs
Pakistan,West Indies,West Indies,Brisbane,1982-01-16,1,wicket
Australia,West Indies,West Indies,Brisbane,1982-01-17,5,wickets
Australia,West Indies,Australia,Sydney,1982-01-19,5,runs
Australia,West Indies,West Indies,Melbourne,1982-01-23,86,runs
Australia,West Indies,West Indies,Melbourne,1982-01-24,128,runs
Australia,West Indies,Australia,Sydney,1982-01-26,46,runs
Australia,West Indies,West Indies,Sydney,1982-01-27,18,runs
India,England,India,Cuttack,1982-01-27,5,wickets
New Zealand,Australia,New Zealand,Auckland,1982-02-13,46,runs
Sri Lanka,England,England,Colombo (SSC),1982-02-13,5,runs
Sri Lanka,England,Sri Lanka,Colombo (SSC),1982-02-14,3,runs
New Zealand,Australia,Australia,Dunedin,1982-02-17,6,wickets
New Zealand,Australia,Australia,Wellington,1982-02-20,8,wickets
Pakistan,Sri Lanka,Pakistan,Karachi,1982-03-12,8,wickets
Pakistan,Sri Lanka,Sri Lanka,Lahore,1982-03-29,30,runs
Pakistan,Sri Lanka,Pakistan,Karachi,1982-03-31,5,wickets
England,India,England,Leeds,1982-06-02,9,wickets
England,India,England,The Oval,1982-06-04,114,runs
England,Pakistan,England,Nottingham,1982-07-17,7,wickets
England,Pakistan,England,Manchester,1982-07-19,73,runs
India,Sri Lanka,India,Amritsar,1982-09-12,78,runs
India,Sri Lanka,India,Delhi,1982-09-15,6,wickets
Pakistan,Australia,Pakistan,Hyderabad (Sind),1982-09-20,59,runs
India,Sri Lanka,India,Bengaluru,1982-09-26,6,wickets
Pakistan,Australia,Pakistan,Lahore,1982-10-08,28,runs
Pakistan,Australia,no result,Karachi,1982-10-22,,
Pakistan,India,Pakistan,Gujranwala,1982-12-03,14,runs
Pakistan,India,Pakistan,Multan,1982-12-17,37,runs
Pakistan,India,India,Lahore,1982-12-31,18,runs
Australia,New Zealand,Australia,Melbourne,1983-01-09,8,wickets
Australia,England,Australia,Sydney,1983-01-11,31,runs
England,New Zealand,New Zealand,Melbourne,1983-01-13,2,runs
England,New Zealand,England,Brisbane,1983-01-15,54,runs
Australia,England,Australia,Brisbane,1983-01-16,7,wickets
Australia,New Zealand,New Zealand,Sydney,1983-01-18,47,runs
England,New Zealand,England,Sydney,1983-01-20,8,wickets
Pakistan,India,Pakistan,Karachi,1983-01-21,8,wickets
Australia,New Zealand,New Zealand,Melbourne,1983-01-22,58,runs
Australia,England,Australia,Melbourne,1983-01-23,5,wickets
Australia,England,England,Sydney,1983-01-26,98,runs
England,New Zealand,New Zealand,Adelaide,1983-01-29,4,wickets
Australia,England,England,Adelaide,1983-01-30,14,runs
Australia,New Zealand,New Zealand,Adelaide,1983-01-31,47,runs
England,New Zealand,New Zealand,Perth,1983-02-05,7,wickets
Australia,New Zealand,Australia,Perth,1983-02-06,27,runs
Australia,New Zealand,Australia,Sydney,1983-02-09,6,wickets
Australia,New Zealand,Australia,Melbourne,1983-02-13,149,runs
New Zealand,England,New Zealand,Auckland,1983-02-19,6,wickets
New Zealand,England,New Zealand,Wellington,1983-02-23,103,runs
New Zealand,England,New Zealand,Christchurch,1983-02-26,84,runs
New Zealand,Sri Lanka,New Zealand,Dunedin,1983-03-02,65,runs
West Indies,India,West Indies,Port of Spain,1983-03-09,52,runs
Australia,New Zealand,New Zealand,Sydney,1983-03-17,14,runs
New Zealand,Sri Lanka,New Zealand,Napier,1983-03-19,7,wickets
New Zealand,Sri Lanka,New Zealand,Auckland,1983-03-20,116,runs
West Indies,India,India,Albion,1983-03-29,27,runs
West Indies,India,West Indies,St George's,1983-04-07,7,wickets
Sri Lanka,Australia,Sri Lanka,Colombo (PSS),1983-04-13,2,wickets
Sri Lanka,Australia,Sri Lanka,Colombo (PSS),1983-04-16,4,wickets
Sri Lanka,Australia,no result,Colombo (SSC),1983-04-29,,
Sri Lanka,Australia,no result,Colombo (SSC),1983-04-30,,
England,New Zealand,England,The Oval,1983-06-09,106,runs
Pakistan,Sri Lanka,Pakistan,Swansea,1983-06-09,50,runs
Australia,Zimbabwe,Zimbabwe,Nottingham,1983-06-09,13,runs
India,West Indies,India,Manchester,,34,runs
England,Sri Lanka,England,Taunton,1983-06-11,47,runs
New Zealand,Pakistan,New Zealand,Birmingham,,52,runs
Australia,West Indies,West Indies,Leeds,,101,runs
India,Zimbabwe,India,Leicester,1983-06-11,5,wickets
England,Pakistan,England,Lord's,1983-06-13,8,wickets
New Zealand,Sri Lanka,New Zealand,Bristol,1983-06-13,5,wickets
Australia,India,Australia,Nottingham,1983-06-13,162,runs
West Indies,Zimbabwe,West Indies,Worcester,1983-06-13,8,wickets
England,New Zealand,New Zealand,Birmingham,1983-06-15,2,wickets
India,West Indies,West Indies,The Oval,1983-06-15,66,runs
Pakistan,Sri Lanka,Pakistan,Leeds,1983-06-16,11,runs
Australia,Zimbabwe,Australia,Southampton,1983-06-16,32,runs
England,Pakistan,England,Manchester,1983-06-18,7,wickets
New Zealand,Sri Lanka,Sri Lanka,Derby,1983-06-18,3,wickets
Australia,West Indies,West Indies,Lord's,1983-06-18,7,wickets
India,Zimbabwe,India,Tunbridge Wells,1983-06-18,31,runs
England,Sri Lanka,England,Leeds,1983-06-20,9,wickets
New Zealand,Pakistan,Pakistan,Nottingham,1983-06-20,11,runs
Australia,India,India,Chelmsford,1983-06-20,118,runs
West Indies,Zimbabwe,West Indies,Birmingham,1983-06-20,10,wickets
England,India,India,Manchester,1983-06-22,6,wickets
Pakistan,West Indies,West Indies,The Oval,1983-06-22,8,wickets
India,West Indies,India,Lord's,1983-06-25,43,runs
India,Pakistan,India,Hyderabad (Deccan),1983-09-10,4,wickets
India,Pakistan,India,Jaipur,1983-10-02,4,wickets
India,West Indies,West Indies,Srinagar,1983-10-13,28,runs
India,West Indies,West Indies,Vadodara,1983-11-09,4,wickets
India,West Indies,West Indies,Indore,1983-12-01,8,wickets
India,West Indies,West Indies,Jamshedpur,1983-12-07,104,runs
India,West Indies,West Indies,Guwahati,1983-12-17,6,wickets
Australia,West Indies,West Indies,Melbourne,1984-01-08,27,runs
Australia,Pakistan,Australia,Sydney,1984-01-10,34,runs
Pakistan,West Indies,Pakistan,Melbourne,1984-01-12,97,runs
Pakistan,West Indies,West Indies,Brisbane,1984-01-14,5,wickets
Australia,Pakistan,no result,Brisbane,1984-01-15,,
Australia,West Indies,West Indies,Sydney,1984-01-17,28,runs
Pakistan,West Indies,West Indies,Sydney,1984-01-19,5,wickets
Australia,Pakistan,Australia,Melbourne,1984-01-21,43,runs
Australia,West Indies,West Indies,Melbourne,1984-01-22,26,runs
Australia,Pakistan,Australia,Sydney,1984-01-25,87,runs
Pakistan,West Indies,West Indies,Adelaide,1984-01-28,1,wicket
Australia,West Indies,West Indies,Adelaide,1984-01-29,6,wickets
Australia,Pakistan,Australia,Adelaide,1984-01-30,70,runs
Pakistan,West Indies,West Indies,Perth,1984-02-04,7,wickets
Australia,West Indies,Australia,Perth,1984-02-05,14,runs
Australia,West Indies,West Indies,Sydney,1984-02-08,9,wickets
Australia,West Indies,tied,Melbourne,1984-02-11,,
Australia,West Indies,West Indies,Melbourne,1984-02-12,6,wickets
New Zealand,England,England,Christchurch,1984-02-18,54,runs
New Zealand,England,England,Wellington,1984-02-22,6,wickets
New Zealand,England,New Zealand,Auckland,1984-02-25,7,wickets
West Indies,Australia,West Indies,Albion,1984-02-29,8,wickets
Sri Lanka,New Zealand,New Zealand,Colombo (SSC),1984-03-03,104,runs
Pakistan,England,Pakistan,Lahore,1984-03-09,6,wickets
West Indies,Australia,Australia,Port of Spain,1984-03-14,4,wickets
Pakistan,England,England,Karachi,1984-03-26,6,wickets
Sri Lanka,New Zealand,Sri Lanka,Moratuwa,1984-03-31,41,runs
Sri Lanka,New Zealand,New Zealand,Colombo (PSS),1984-04-01,86,runs
Pakistan,Sri Lanka,Sri Lanka,Sharjah,1984-04-06,5,wickets
India,Sri Lanka,India,Sharjah,1984-04-08,10,wickets
India,Pakistan,India,Sharjah,1984-04-13,54,runs
West Indies,Australia,West Indies,Castries,1984-04-19,7,wickets
West Indies,Australia,West Indies,Kingston,1984-04-26,9,wickets
England,West Indies,West Indies,Manchester,1984-05-31,104,runs
England,West Indies,England,Nottingham,1984-06-02,3,wickets
England,West Indies,West Indies,Lord's,1984-06-04,8,wickets
India,Australia,Australia,New Delhi,1984-09-28,48,runs
India,Australia,no result,Thiruvananthapuram,1984-10-01,,
India,Australia,no result,Jamshedpur,1984-10-03,,
India,Australia,Australia,Ahmedabad,1984-10-05,7,wickets
India,Australia,Australia,Indore,1984-10-06,6,wickets
Pakistan,India,Pakistan,Quetta,1984-10-12,46,runs
Pakistan,India,no result,Sialkot,1984-10-31,,
Sri Lanka,New Zealand,Sri Lanka,Colombo (PSS),1984-11-03,4,wickets
Sri Lanka,New Zealand,New Zealand,Moratuwa,1984-11-04,7,wickets
Pakistan,New Zealand,Pakistan,Peshawar,1984-11-12,46,runs
Pakistan,New Zealand,Pakistan,Faisalabad,1984-11-23,5,runs
Pakistan,New Zealand,New Zealand,Sialkot,1984-12-02,34,runs
India,England,England,Pune,1984-12-05,4,wickets
Pakistan,New Zealand,Pakistan,Multan,1984-12-07,1,wicket
India,England,England,Cuttack,1984-12-27,1,run
Australia,West Indies,West Indies,Melbourne,1985-01-06,7,wickets
Australia,Sri Lanka,Australia,Sydney,1985-01-08,6,wickets
Sri Lanka,West Indies,West Indies,Hobart,1985-01-10,8,wickets
New Zealand,Pakistan,New Zealand,Napier,1985-01-12,110,runs
Sri Lanka,West Indies,West Indies,Brisbane,1985-01-12,90,runs
Australia,West Indies,West Indies,Brisbane,1985-01-13,5,wickets
New Zealand,Pakistan,New Zealand,Hamilton,1985-01-15,4,wickets
Australia,West Indies,West Indies,Sydney,1985-01-15,5,wickets
Sri Lanka,West Indies,West Indies,Sydney,1985-01-17,65,runs
Australia,Sri Lanka,Sri Lanka,Melbourne,1985-01-19,4,wickets
Australia,West Indies,West Indies,Melbourne,1985-01-20,65,runs
India,England,England,Bengaluru,1985-01-20,3,wickets
Australia,Sri Lanka,Australia,Sydney,1985-01-23,3,wickets
India,England,India,Nagpur,1985-01-23,3,wickets
Sri Lanka,West Indies,West Indies,Adelaide,1985-01-26,8,wickets
Australia,West Indies,West Indies,Adelaide,1985-01-27,6,wickets
India,England,England,Chandigarh,1985-01-27,7,runs
Australia,Sri Lanka,Australia,Adelaide,1985-01-28,232,runs
Sri Lanka,West Indies,West Indies,Perth,1985-02-02,82,runs
Australia,Sri Lanka,Australia,Perth,1985-02-03,9,wickets
New Zealand,Pakistan,New Zealand,Christchurch,1985-02-06,13,runs
Australia,West Indies,Australia,Sydney,1985-02-06,26,runs
Australia,West Indies,West Indies,Melbourne,1985-02-10,4,wickets
Australia,West Indies,West Indies,Sydney,1985-02-12,7,wickets
New Zealand,Pakistan,no result,Auckland,,,
Australia,England,Australia,Melbourne,1985-02-17,7,wickets
New Zealand,West Indies,no result,Sydney,,,
India,Pakistan,India,Melbourne,1985-02-20,6,wickets
New Zealand,Sri Lanka,New Zealand,Melbourne,1985-02-23,51,runs
Australia,Pakistan,Pakistan,Melbourne,1985-02-24,62,runs
England,India,India,Sydney,1985-02-26,86,runs
Sri Lanka,West Indies,West Indies,Melbourne,1985-02-27,8,wickets
England,Pakistan,Pakistan,Melbourne,1985-03-02,67,runs
Australia,India,India,Melbourne,1985-03-03,8,wickets
India,New Zealand,India,Sydney,1985-03-05,7,wickets
Pakistan,West Indies,Pakistan,Melbourne,1985-03-06,7,wickets
New Zealand,West Indies,West Indies,Sydney,1985-03-09,6,wickets
India,Pakistan,India,Melbourne,1985-03-10,8,wickets
West Indies,New Zealand,West Indies,St John's,1985-03-20,23,runs
India,Pakistan,India,Sharjah,1985-03-22,38,runs
Australia,England,Australia,Sharjah,1985-03-24,2,wickets
England,Pakistan,Pakistan,Sharjah,1985-03-26,43,runs
West Indies,New Zealand,West Indies,Port of Spain,1985-03-27,6,wickets
Australia,India,India,Sharjah,1985-03-29,3,wickets
West Indies,New Zealand,West Indies,Albion,1985-04-14,130,runs
West Indies,New Zealand,West Indies,Port of Spain,1985-04-17,10,wickets
West Indies,New Zealand,West Indies,Bridgetown,1985-04-23,112,runs
England,Australia,Australia,Manchester,1985-05-30,3,wickets
England,Australia,Australia,Birmingham,1985-06-01,4,wickets
England,Australia,England,Lord's,1985-06-03,8,wickets
Sri Lanka,India,India,Colombo (SSC),1985-08-25,2,wickets
Sri Lanka,India,Sri Lanka,Colombo (PSS),1985-09-21,14,runs
Sri Lanka,India,no result,Colombo (PSS),1985-09-22,,
Pakistan,Sri Lanka,Pakistan,Peshawar,1985-10-13,8,wickets
Pakistan,Sri Lanka,Pakistan,Gujranwala,1985-10-23,15,runs
Pakistan,Sri Lanka,Pakistan,Lahore,1985-10-25,5,wickets
Pakistan,Sri Lanka,Pakistan,Hyderabad (Sind),1985-11-03,89,runs
Pakistan,West Indies,West Indies,Sharjah,1985-11-15,7,wickets
India,Pakistan,Pakistan,Sharjah,1985-11-17,48,runs
India,West Indies,West Indies,Sharjah,1985-11-22,8,wickets
Pakistan,West Indies,West Indies,Gujranwala,1985-11-27,8,wickets
Pakistan,West Indies,Pakistan,Lahore,1985-11-29,6,wickets
Pakistan,West Indies,West Indies,Peshawar,1985-12-02,40,runs
Pakistan,West Indies,Pakistan,Rawalpindi,1985-12-04,5,wickets
Pakistan,West Indies,West Indies,Karachi,1985-12-06,8,wickets
Australia,New Zealand,no result,Melbourne,1986-01-09,,
India,New Zealand,India,Brisbane,1986-01-11,5,wickets
Australia,India,Australia,Brisbane,1986-01-12,4,wickets
Australia,New Zealand,Australia,Sydney,1986-01-14,4,wickets
Australia,India,India,Melbourne,1986-01-16,8,wickets
India,New Zealand,New Zealand,Perth,1986-01-18,3,wickets
Australia,New Zealand,Australia,Perth,1986-01-19,4,wickets
Australia,India,Australia,Sydney,1986-01-21,100,runs
India,New Zealand,New Zealand,Melbourne,1986-01-23,5,wickets
India,New Zealand,India,Adelaide,1986-01-25,5,wickets
Australia,India,Australia,Adelaide,1986-01-26,36,runs
Australia,New Zealand,New Zealand,Adelaide,1986-01-27,206,runs
Australia,New Zealand,Australia,Sydney,1986-01-29,99,runs
Australia,India,India,Melbourne,1986-01-31,6,wickets
India,New Zealand,India,Launceston,1986-02-02,22,runs
Australia,India,Australia,Sydney,1986-02-05,11,runs
Australia,India,Australia,Melbourne,1986-02-09,7,wickets
West Indies,England,West Indies,Kingston,1986-02-18,6,wickets
Sri Lanka,Pakistan,Pakistan,Kandy,1986-03-02,8,wickets
West Indies,England,England,Port of Spain,1986-03-04,5,wickets
Sri Lanka,Pakistan,no result,Moratuwa,1986-03-08,,
Sri Lanka,Pakistan,Pakistan,Colombo (SSC),1986-03-11,8,wickets
New Zealand,Australia,New Zealand,Dunedin,1986-03-19,30,runs
West Indies,England,West Indies,Bridgetown,1986-03-19,135,runs
New Zealand,Australia,New Zealand,Christchurch,1986-03-22,53,runs
New Zealand,Australia,Australia,Wellington,1986-03-26,3,wickets
New Zealand,Australia,Australia,Auckland,1986-03-29,44,runs
Sri Lanka,Pakistan,Pakistan,Colombo (PSS),1986-03-30,81,runs
Bangladesh,Pakistan,Pakistan,Moratuwa,1986-03-31,7,wickets
West Indies,England,West Indies,Port of Spain,1986-03-31,8,wickets
Sri Lanka,Bangladesh,Sri Lanka,Kandy,1986-04-02,7,wickets
Sri Lanka,New Zealand,New Zealand,Colombo (RPS),1986-04-05,6,wickets
Sri Lanka,Pakistan,Sri Lanka,Colombo (SSC),1986-04-06,5,wickets
New Zealand,Pakistan,Pakistan,Colombo (SSC),1986-04-07,4,wickets
India,New Zealand,India,Sharjah,1986-04-10,3,wickets
Australia,Pakistan,Pakistan,Sharjah,1986-04-11,8,wickets
India,Sri Lanka,India,Sharjah,1986-04-13,3,wickets
New Zealand,Pakistan,Pakistan,Sharjah,1986-04-15,10,wickets
India,Pakistan,Pakistan,Sharjah,1986-04-18,1,wicket
England,India,India,The Oval,1986-05-24,9,wickets
England,India,England,Manchester,1986-05-26,5,wickets
England,New Zealand,New Zealand,Leeds,1986-07-16,47,runs
England,New Zealand,England,Manchester,1986-07-18,6,wickets
India,Australia,India,Jaipur,1986-09-07,7,wickets
India,Australia,Australia,Srinagar,1986-09-09,3,wickets
India,Australia,no result,Hyderabad (Deccan),1986-09-24,,
India,Australia,India,Delhi,1986-10-02,3,wickets
India,Australia,India,Ahmedabad,1986-10-05,52,runs
India,Australia,Australia,Rajkot,1986-10-07,7,wickets
Pakistan,West Indies,West Indies,Peshawar,1986-10-17,4,wickets
Pakistan,West Indies,West Indies,Gujranwala,1986-11-04,17,runs
Pakistan,West Indies,West Indies,Sialkot,1986-11-14,4,wickets
Pakistan,West Indies,West Indies,Multan,1986-11-17,89,runs
Pakistan,West Indies,Pakistan,Hyderabad (Sind),1986-11-18,11,runs
India,Sri Lanka,India,Sharjah,1986-11-27,7,wickets
Pakistan,West Indies,West Indies,Sharjah,1986-11-28,9,wickets
India,West Indies,West Indies,Sharjah,1986-11-30,33,runs
Pakistan,Sri Lanka,Pakistan,Sharjah,1986-12-02,4,wickets
Sri Lanka,West Indies,West Indies,Sharjah,1986-12-03,193,runs
India,Pakistan,Pakistan,Sharjah,1986-12-05,3,wickets
India,Sri Lanka,Sri Lanka,Kanpur,1986-12-24,117,runs
Pakistan,West Indies,Pakistan,Perth,1986-12-30,34,runs
Australia,England,England,Perth,1987-01-01,37,runs
Australia,Pakistan,Pakistan,Perth,1987-01-02,1,wicket
England,West Indies,England,Perth,1987-01-03,19,runs
Australia,West Indies,West Indies,Perth,1987-01-04,164,runs
England,Pakistan,England,Perth,1987-01-05,3,wickets
England,Pakistan,England,Perth,1987-01-07,5,wickets
India,Sri Lanka,India,Guwahati,1987-01-11,8,wickets
India,Sri Lanka,India,Delhi,1987-01-13,6,wickets
India,Sri Lanka,India,Vadodara,1987-01-15,94,runs
England,West Indies,England,Brisbane,1987-01-17,6,wickets
India,Sri Lanka,India,Mumbai,1987-01-17,10,runs
Australia,England,Australia,Brisbane,1987-01-18,11,runs
Australia,West Indies,West Indies,Melbourne,1987-01-20,7,wickets
Australia,England,England,Sydney,1987-01-22,3,wickets
England,West Indies,England,Adelaide,1987-01-24,89,runs
Australia,West Indies,West Indies,Adelaide,1987-01-25,16,runs
Australia,England,Australia,Adelaide,1987-01-26,33,runs
India,Pakistan,Pakistan,Indore,1987-01-27,3,wickets
Australia,West Indies,Australia,Sydney,1987-01-28,36,runs
England,West Indies,West Indies,Melbourne,1987-01-30,6,wickets
Australia,England,Australia,Melbourne,1987-02-01,109,runs
England,West Indies,England,Devonport,1987-02-03,29,runs
Australia,West Indies,Australia,Sydney,1987-02-06,2,wickets
Australia,England,England,Melbourne,1987-02-08,6,wickets
Australia,England,England,Sydney,1987-02-11,8,runs
India,Pakistan,Pakistan,Kolkata,1987-02-18,2,wickets
New Zealand,West Indies,West Indies,Dunedin,1987-03-18,95,runs
India,Pakistan,India,Hyderabad (Deccan),1987-03-20,,
New Zealand,West Indies,West Indies,Auckland,1987-03-21,6,wickets
India,Pakistan,Pakistan,Pune,1987-03-22,6,wickets
India,Pakistan,Pakistan,Nagpur,1987-03-24,41,runs
India,Pakistan,Pakistan,Jamshedpur,1987-03-26,5,wickets
New Zealand,West Indies,West Indies,Christchurch,1987-03-28,10,wickets
England,India,India,Sharjah,1987-04-02,3,wickets
Australia,Pakistan,Pakistan,Sharjah,1987-04-03,6,wickets
Australia,India,India,Sharjah,1987-04-05,7,wickets
England,Pakistan,England,Sharjah,1987-04-07,5,wickets
Australia,England,England,Sharjah,1987-04-09,11,runs
