,Team 1,Team 2,Winner,Ground,Match Date,Margin Value,Margin Type
89,England,West Indies,England,Lord's,1980-05-30,3.0,wickets
90,England,Australia,England,The Oval,1980-08-20,23.0,runs
91,England,Australia,England,Birmingham,1980-08-22,47.0,runs
92,Pakistan,West Indies,West Indies,Karachi,1980-11-21,4.0,wickets
93,Australia,New Zealand,New Zealand,Adelaide,1980-11-23,3.0,wickets
94,Australia,New Zealand,Australia,Sydney,1980-11-25,94.0,runs
95,Pakistan,West Indies,West Indies,Sialkot,1980-12-05,7.0,wickets
96,Australia,India,India,Melbourne,1980-12-06,66.0,runs
97,Australia,New Zealand,Australia,Melbourne,1980-12-07,4.0,wickets
98,India,New Zealand,India,Perth,1980-12-09,5.0,runs
99,Australia,India,Australia,Sydney,1980-12-18,9.0,wickets
100,Pakistan,West Indies,West Indies,Lahore,1980-12-19,7.0,runs
101,India,New Zealand,New Zealand,Brisbane,1980-12-21,3.0,wickets
102,India,New Zealand,India,Adelaide,1980-12-23,6.0,runs
103,Australia,India,Australia,Sydney,1981-01-08,9.0,wickets
104,India,New Zealand,New Zealand,Melbourne,1981-01-10,10.0,wickets
105,Australia,India,Australia,Melbourne,1981-01-11,7.0,wickets
106,Australia,New Zealand,New Zealand,Sydney,1981-01-13,1.0,run
107,Australia,India,Australia,Sydney,1981-01-15,27.0,runs
108,India,New Zealand,New Zealand,Brisbane,1981-01-18,22.0,runs
109,Australia,New Zealand,no result,Sydney,1981-01-21,50.0,runs
110,Australia,New Zealand,New Zealand,Sydney,1981-01-29,78.0,runs
111,Australia,New Zealand,Australia,Melbourne,1981-01-31,7.0,wickets
112,Australia,New Zealand,Australia,Melbourne,1981-02-01,6.0,runs
113,Australia,New Zealand,Australia,Sydney,1981-02-03,6.0,wickets
114,West Indies,England,West Indies,Kingstown,1981-02-04,2.0,runs
115,New Zealand,India,New Zealand,Auckland,1981-02-14,78.0,runs
116,New Zealand,India,New Zealand,Hamilton,1981-02-15,57.0,runs
117,West Indies,England,West Indies,Albion,1981-02-26,6.0,wickets
118,England,Australia,England,Lord's,1981-06-04,6.0,wickets
119,England,Australia,Australia,Birmingham,1981-06-06,2.0,runs
120,England,Australia,Australia,Leeds,1981-06-08,71.0,runs
121,Pakistan,West Indies,West Indies,Melbourne,1981-11-21,18.0,runs
122,Australia,Pakistan,Pakistan,Melbourne,1981-11-22,4.0,wickets
123,Australia,West Indies,Australia,Sydney,1981-11-24,7.0,wickets
124,India,England,England,Ahmedabad,1981-11-25,5.0,wickets
125,Pakistan,West Indies,Pakistan,Adelaide,1981-12-05,8.0,runs
126,Australia,Pakistan,Australia,Adelaide,1981-12-06,38.0,runs
127,Australia,Pakistan,Pakistan,Sydney,1981-12-17,6.0,wickets
128,Pakistan,West Indies,West Indies,Perth,1981-12-19,7.0,wickets
130,India,England,India,Jalandhar,1981-12-20,6.0,wickets
129,Australia,West Indies,West Indies,Perth,1981-12-20,8.0,wickets
131,Australia,Pakistan,Pakistan,Melbourne,1982-01-09,25.0,runs
132,Australia,West Indies,West Indies,Melbourne,1982-01-10,5.0,wickets
133,Pakistan,West Indies,West Indies,Sydney,1982-01-12,7.0,wickets
134,Australia,Pakistan,Australia,Sydney,1982-01-14,76.0,runs
135,Pakistan,West Indies,West Indies,Brisbane,1982-01-16,1.0,wicket
136,Australia,West Indies,West Indies,Brisbane,1982-01-17,5.0,wickets
137,Australia,West Indies,Australia,Sydney,1982-01-19,5.0,runs
138,Australia,West Indies,West Indies,Melbourne,1982-01-23,86.0,runs
139,Australia,West Indies,West Indies,Melbourne,1982-01-24,128.0,runs
140,Australia,West Indies,Australia,Sydney,1982-01-26,46.0,runs
141,Australia,West Indies,West Indies,Sydney,1982-01-27,18.0,runs
142,India,England,India,Cuttack,1982-01-27,5.0,wickets
144,Sri Lanka,England,England,Colombo (SSC),1982-02-13,5.0,runs
143,New Zealand,Australia,New Zealand,Auckland,1982-02-13,46.0,runs
145,Sri Lanka,England,Sri Lanka,Colombo (SSC),1982-02-14,3.0,runs
146,New Zealand,Australia,Australia,Dunedin,1982-02-17,6.0,wickets
147,New Zealand,Australia,Australia,Wellington,1982-02-20,8.0,wickets
148,Pakistan,Sri Lanka,Pakistan,Karachi,1982-03-12,8.0,wickets
149,Pakistan,Sri Lanka,Sri Lanka,Lahore,1982-03-29,30.0,runs
150,Pakistan,Sri Lanka,Pakistan,Karachi,1982-03-31,5.0,wickets
151,England,India,England,Leeds,1982-06-02,9.0,wickets
152,England,India,England,The Oval,1982-06-04,114.0,runs
153,England,Pakistan,England,Nottingham,1982-07-17,7.0,wickets
154,England,Pakistan,England,Manchester,1982-07-19,73.0,runs
155,India,Sri Lanka,India,Amritsar,1982-09-12,78.0,runs
156,India,Sri Lanka,India,Delhi,1982-09-15,6.0,wickets
157,Pakistan,Australia,Pakistan,Hyderabad (Sind),1982-09-20,59.0,runs
158,India,Sri Lanka,India,Bengaluru,1982-09-26,6.0,wickets
159,Pakistan,Australia,Pakistan,Lahore,1982-10-08,28.0,runs
160,Pakistan,Australia,no result,Karachi,1982-10-22,21.0,runs
161,Pakistan,India,Pakistan,Gujranwala,1982-12-03,14.0,runs
162,Pakistan,India,Pakistan,Multan,1982-12-17,37.0,runs
163,Pakistan,India,India,Lahore,1982-12-31,18.0,runs
164,Australia,New Zealand,Australia,Melbourne,1983-01-09,8.0,wickets
165,Australia,England,Australia,Sydney,1983-01-11,31.0,runs
166,England,New Zealand,New Zealand,Melbourne,1983-01-13,2.0,runs
167,England,New Zealand,England,Brisbane,1983-01-15,54.0,runs
168,Australia,England,Australia,Brisbane,1983-01-16,7.0,wickets
169,Australia,New Zealand,New Zealand,Sydney,1983-01-18,47.0,runs
170,England,New Zealand,England,Sydney,1983-01-20,8.0,wickets
171,Pakistan,India,Pakistan,Karachi,1983-01-21,8.0,wickets
172,Australia,New Zealand,New Zealand,Melbourne,1983-01-22,58.0,runs
173,Australia,England,Australia,Melbourne,1983-01-23,5.0,wickets
174,Australia,England,England,Sydney,1983-01-26,98.0,runs
175,England,New Zealand,New Zealand,Adelaide,1983-01-29,4.0,wickets
176,Australia,England,England,Adelaide,1983-01-30,14.0,runs
177,Australia,New Zealand,New Zealand,Adelaide,1983-01-31,47.0,runs
178,England,New Zealand,New Zealand,Perth,1983-02-05,7.0,wickets
179,Australia,New Zealand,Australia,Perth,1983-02-06,27.0,runs
180,Australia,New Zealand,Australia,Sydney,1983-02-09,6.0,wickets
181,Australia,New Zealand,Australia,Melbourne,1983-02-13,149.0,runs
182,New Zealand,England,New Zealand,Auckland,1983-02-19,6.0,wickets
183,New Zealand,England,New Zealand,Wellington,1983-02-23,103.0,runs
184,New Zealand,England,New Zealand,Christchurch,1983-02-26,84.0,runs
185,New Zealand,Sri Lanka,New Zealand,Dunedin,1983-03-02,65.0,runs
186,West Indies,India,West Indies,Port of Spain,1983-03-09,52.0,runs
187,Australia,New Zealand,New Zealand,Sydney,1983-03-17,14.0,runs
188,New Zealand,Sri Lanka,New Zealand,Napier,1983-03-19,7.0,wickets
189,New Zealand,Sri Lanka,New Zealand,Auckland,1983-03-20,116.0,runs
190,West Indies,India,India,Albion,1983-03-29,27.0,runs
191,West Indies,India,West Indies,St George's,1983-04-07,7.0,wickets
192,Sri Lanka,Australia,Sri Lanka,Colombo (PSS),1983-04-13,2.0,wickets
193,Sri Lanka,Australia,Sri Lanka,Colombo (PSS),1983-04-16,4.0,wickets
194,Sri Lanka,Australia,no result,Colombo (SSC),1983-04-29,38.0,wickets
195,Sri Lanka,Australia,no result,Colombo (SSC),1983-04-30,72.0,wickets
196,England,New Zealand,England,The Oval,1983-06-09,106.0,runs
197,Pakistan,Sri Lanka,Pakistan,Swansea,1983-06-09,50.0,runs
198,Australia,Zimbabwe,Zimbabwe,Nottingham,1983-06-09,13.0,runs
200,England,Sri Lanka,England,Taunton,1983-06-11,47.0,runs
203,India,Zimbabwe,India,Leicester,1983-06-11,5.0,wickets
206,Australia,India,Australia,Nottingham,1983-06-13,162.0,runs
207,West Indies,Zimbabwe,West Indies,Worcester,1983-06-13,8.0,wickets
204,England,Pakistan,England,Lord's,1983-06-13,8.0,wickets
205,New Zealand,Sri Lanka,New Zealand,Bristol,1983-06-13,5.0,wickets
209,India,West Indies,West Indies,The Oval,1983-06-15,66.0,runs
208,England,New Zealand,New Zealand,Birmingham,1983-06-15,2.0,wickets
210,Pakistan,Sri Lanka,Pakistan,Leeds,1983-06-16,11.0,runs
211,Australia,Zimbabwe,Australia,Southampton,1983-06-16,32.0,runs
212,England,Pakistan,England,Manchester,1983-06-18,7.0,wickets
213,New Zealand,Sri Lanka,Sri Lanka,Derby,1983-06-18,3.0,wickets
214,Australia,West Indies,West Indies,Lord's,1983-06-18,7.0,wickets
215,India,Zimbabwe,India,Tunbridge Wells,1983-06-18,31.0,runs
216,England,Sri Lanka,England,Leeds,1983-06-20,9.0,wickets
217,New Zealand,Pakistan,Pakistan,Nottingham,1983-06-20,11.0,runs
218,Australia,India,India,Chelmsford,1983-06-20,118.0,runs
219,West Indies,Zimbabwe,West Indies,Birmingham,1983-06-20,10.0,wickets
220,England,India,India,Manchester,1983-06-22,6.0,wickets
221,Pakistan,West Indies,West Indies,The Oval,1983-06-22,8.0,wickets
222,India,West Indies,India,Lord's,1983-06-25,43.0,runs
223,India,Pakistan,India,Hyderabad (Deccan),1983-09-10,4.0,wickets
224,India,Pakistan,India,Jaipur,1983-10-02,4.0,wickets
225,India,West Indies,West Indies,Srinagar,1983-10-13,28.0,runs
226,India,West Indies,West Indies,Vadodara,1983-11-09,4.0,wickets
227,India,West Indies,West Indies,Indore,1983-12-01,8.0,wickets
228,India,West Indies,West Indies,Jamshedpur,1983-12-07,104.0,runs
229,India,West Indies,West Indies,Guwahati,1983-12-17,6.0,wickets
230,Australia,West Indies,West Indies,Melbourne,1984-01-08,27.0,runs
231,Australia,Pakistan,Australia,Sydney,1984-01-10,34.0,runs
232,Pakistan,West Indies,Pakistan,Melbourne,1984-01-12,97.0,runs
233,Pakistan,West Indies,West Indies,Brisbane,1984-01-14,5.0,wickets
234,Australia,Pakistan,no result,Brisbane,1984-01-15,16.0,wickets
235,Australia,West Indies,West Indies,Sydney,1984-01-17,28.0,runs
236,Pakistan,West Indies,West Indies,Sydney,1984-01-19,5.0,wickets
237,Australia,Pakistan,Australia,Melbourne,1984-01-21,43.0,runs
238,Australia,West Indies,West Indies,Melbourne,1984-01-22,26.0,runs
239,Australia,Pakistan,Australia,Sydney,1984-01-25,87.0,runs
240,Pakistan,West Indies,West Indies,Adelaide,1984-01-28,1.0,wicket
241,Australia,West Indies,West Indies,Adelaide,1984-01-29,6.0,wickets
242,Australia,Pakistan,Australia,Adelaide,1984-01-30,70.0,runs
243,Pakistan,West Indies,West Indies,Perth,1984-02-04,7.0,wickets
244,Australia,West Indies,Australia,Perth,1984-02-05,14.0,runs
245,Australia,West Indies,West Indies,Sydney,1984-02-08,9.0,wickets
246,Australia,West Indies,tied,Melbourne,1984-02-11,8.0,wickets
247,Australia,West Indies,West Indies,Melbourne,1984-02-12,6.0,wickets
248,New Zealand,England,England,Christchurch,1984-02-18,54.0,runs
249,New Zealand,England,England,Wellington,1984-02-22,6.0,wickets
250,New Zealand,England,New Zealand,Auckland,1984-02-25,7.0,wickets
251,West Indies,Australia,West Indies,Albion,1984-02-29,8.0,wickets
252,Sri Lanka,New Zealand,New Zealand,Colombo (SSC),1984-03-03,104.0,runs
253,Pakistan,England,Pakistan,Lahore,1984-03-09,6.0,wickets
254,West Indies,Australia,Australia,Port of Spain,1984-03-14,4.0,wickets
255,Pakistan,England,England,Karachi,1984-03-26,6.0,wickets
256,Sri Lanka,New Zealand,Sri Lanka,Moratuwa,1984-03-31,41.0,runs
257,Sri Lanka,New Zealand,New Zealand,Colombo (PSS),1984-04-01,86.0,runs
258,Pakistan,Sri Lanka,Sri Lanka,Sharjah,1984-04-06,5.0,wickets
259,India,Sri Lanka,India,Sharjah,1984-04-08,10.0,wickets
260,India,Pakistan,India,Sharjah,1984-04-13,54.0,runs
261,West Indies,Australia,West Indies,Castries,1984-04-19,7.0,wickets
262,West Indies,Australia,West Indies,Kingston,1984-04-26,9.0,wickets
263,England,West Indies,West Indies,Manchester,1984-05-31,104.0,runs
264,England,West Indies,England,Nottingham,1984-06-02,3.0,wickets
265,England,West Indies,West Indies,Lord's,1984-06-04,8.0,wickets
266,India,Australia,Australia,New Delhi,1984-09-28,48.0,runs
267,India,Australia,no result,Thiruvananthapuram,1984-10-01,34.0,runs
268,India,Australia,no result,Jamshedpur,1984-10-03,21.0,runs
269,India,Australia,Australia,Ahmedabad,1984-10-05,7.0,wickets
270,India,Australia,Australia,Indore,1984-10-06,6.0,wickets
271,Pakistan,India,Pakistan,Quetta,1984-10-12,46.0,runs
272,Pakistan,India,no result,Sialkot,1984-10-31,25.0,runs
273,Sri Lanka,New Zealand,Sri Lanka,Colombo (PSS),1984-11-03,4.0,wickets
274,Sri Lanka,New Zealand,New Zealand,Moratuwa,1984-11-04,7.0,wickets
275,Pakistan,New Zealand,Pakistan,Peshawar,1984-11-12,46.0,runs
276,Pakistan,New Zealand,Pakistan,Faisalabad,1984-11-23,5.0,runs
277,Pakistan,New Zealand,New Zealand,Sialkot,1984-12-02,34.0,runs
278,India,England,England,Pune,1984-12-05,4.0,wickets
279,Pakistan,New Zealand,Pakistan,Multan,1984-12-07,1.0,wicket
280,India,England,England,Cuttack,1984-12-27,1.0,run
281,Australia,West Indies,West Indies,Melbourne,1985-01-06,7.0,wickets
282,Australia,Sri Lanka,Australia,Sydney,1985-01-08,6.0,wickets
283,Sri Lanka,West Indies,West Indies,Hobart,1985-01-10,8.0,wickets
285,Sri Lanka,West Indies,West Indies,Brisbane,1985-01-12,90.0,runs
284,New Zealand,Pakistan,New Zealand,Napier,1985-01-12,110.0,runs
286,Australia,West Indies,West Indies,Brisbane,1985-01-13,5.0,wickets
287,New Zealand,Pakistan,New Zealand,Hamilton,1985-01-15,4.0,wickets
288,Australia,West Indies,West Indies,Sydney,1985-01-15,5.0,wickets
289,Sri Lanka,West Indies,West Indies,Sydney,1985-01-17,65.0,runs
290,Australia,Sri Lanka,Sri Lanka,Melbourne,1985-01-19,4.0,wickets
291,Australia,West Indies,West Indies,Melbourne,1985-01-20,65.0,runs
292,India,England,England,Bengaluru,1985-01-20,3.0,wickets
293,Australia,Sri Lanka,Australia,Sydney,1985-01-23,3.0,wickets
294,India,England,India,Nagpur,1985-01-23,3.0,wickets
295,Sri Lanka,West Indies,West Indies,Adelaide,1985-01-26,8.0,wickets
296,Australia,West Indies,West Indies,Adelaide,1985-01-27,6.0,wickets
297,India,England,England,Chandigarh,1985-01-27,7.0,runs
298,Australia,Sri Lanka,Australia,Adelaide,1985-01-28,232.0,runs
299,Sri Lanka,West Indies,West Indies,Perth,1985-02-02,82.0,runs
300,Australia,Sri Lanka,Australia,Perth,1985-02-03,9.0,wickets
301,New Zealand,Pakistan,New Zealand,Christchurch,1985-02-06,13.0,runs
302,Australia,West Indies,Australia,Sydney,1985-02-06,26.0,runs
303,Australia,West Indies,West Indies,Melbourne,1985-02-10,4.0,wickets
304,Australia,West Indies,West Indies,Sydney,1985-02-12,7.0,wickets
306,Australia,England,Australia,Melbourne,1985-02-17,7.0,wickets
308,India,Pakistan,India,Melbourne,1985-02-20,6.0,wickets
309,New Zealand,Sri Lanka,New Zealand,Melbourne,1985-02-23,51.0,runs
310,Australia,Pakistan,Pakistan,Melbourne,1985-02-24,62.0,runs
311,England,India,India,Sydney,1985-02-26,86.0,runs
312,Sri Lanka,West Indies,West Indies,Melbourne,1985-02-27,8.0,wickets
313,England,Pakistan,Pakistan,Melbourne,1985-03-02,67.0,runs
314,Australia,India,India,Melbourne,1985-03-03,8.0,wickets
315,India,New Zealand,India,Sydney,1985-03-05,7.0,wickets
316,Pakistan,West Indies,Pakistan,Melbourne,1985-03-06,7.0,wickets
317,New Zealand,West Indies,West Indies,Sydney,1985-03-09,6.0,wickets
318,India,Pakistan,India,Melbourne,1985-03-10,8.0,wickets
319,West Indies,New Zealand,West Indies,St John's,1985-03-20,23.0,runs
320,India,Pakistan,India,Sharjah,1985-03-22,38.0,runs
321,Australia,England,Australia,Sharjah,1985-03-24,2.0,wickets
322,England,Pakistan,Pakistan,Sharjah,1985-03-26,43.0,runs
323,West Indies,New Zealand,West Indies,Port of Spain,1985-03-27,6.0,wickets
324,Australia,India,India,Sharjah,1985-03-29,3.0,wickets
325,West Indies,New Zealand,West Indies,Albion,1985-04-14,130.0,runs
326,West Indies,New Zealand,West Indies,Port of Spain,1985-04-17,10.0,wickets
327,West Indies,New Zealand,West Indies,Bridgetown,1985-04-23,112.0,runs
328,England,Australia,Australia,Manchester,1985-05-30,3.0,wickets
329,England,Australia,Australia,Birmingham,1985-06-01,4.0,wickets
330,England,Australia,England,Lord's,1985-06-03,8.0,wickets
331,Sri Lanka,India,India,Colombo (SSC),1985-08-25,2.0,wickets
332,Sri Lanka,India,Sri Lanka,Colombo (PSS),1985-09-21,14.0,runs
333,Sri Lanka,India,no result,Colombo (PSS),1985-09-22,11.0,runs
334,Pakistan,Sri Lanka,Pakistan,Peshawar,1985-10-13,8.0,wickets
335,Pakistan,Sri Lanka,Pakistan,Gujranwala,1985-10-23,15.0,runs
336,Pakistan,Sri Lanka,Pakistan,Lahore,1985-10-25,5.0,wickets
337,Pakistan,Sri Lanka,Pakistan,Hyderabad (Sind),1985-11-03,89.0,runs
338,Pakistan,West Indies,West Indies,Sharjah,1985-11-15,7.0,wickets
339,India,Pakistan,Pakistan,Sharjah,1985-11-17,48.0,runs
340,India,West Indies,West Indies,Sharjah,1985-11-22,8.0,wickets
341,Pakistan,West Indies,West Indies,Gujranwala,1985-11-27,8.0,wickets
342,Pakistan,West Indies,Pakistan,Lahore,1985-11-29,6.0,wickets
343,Pakistan,West Indies,West Indies,Peshawar,1985-12-02,40.0,runs
344,Pakistan,West Indies,Pakistan,Rawalpindi,1985-12-04,5.0,wickets
345,Pakistan,West Indies,West Indies,Karachi,1985-12-06,8.0,wickets
346,Australia,New Zealand,no result,Melbourne,1986-01-09,6.0,wickets
347,India,New Zealand,India,Brisbane,1986-01-11,5.0,wickets
348,Australia,India,Australia,Brisbane,1986-01-12,4.0,wickets
349,Australia,New Zealand,Australia,Sydney,1986-01-14,4.0,wickets
350,Australia,India,India,Melbourne,1986-01-16,8.0,wickets
351,India,New Zealand,New Zealand,Perth,1986-01-18,3.0,wickets
352,Australia,New Zealand,Australia,Perth,1986-01-19,4.0,wickets
353,Australia,India,Australia,Sydney,1986-01-21,100.0,runs
354,India,New Zealand,New Zealand,Melbourne,1986-01-23,5.0,wickets
355,India,New Zealand,India,Adelaide,1986-01-25,5.0,wickets
356,Australia,India,Australia,Adelaide,1986-01-26,36.0,runs
357,Australia,New Zealand,New Zealand,Adelaide,1986-01-27,206.0,runs
358,Australia,New Zealand,Australia,Sydney,1986-01-29,99.0,runs
359,Australia,India,India,Melbourne,1986-01-31,6.0,wickets
360,India,New Zealand,India,Launceston,1986-02-02,22.0,runs
361,Australia,India,Australia,Sydney,1986-02-05,11.0,runs
362,Australia,India,Australia,Melbourne,1986-02-09,7.0,wickets
363,West Indies,England,West Indies,Kingston,1986-02-18,6.0,wickets
364,Sri Lanka,Pakistan,Pakistan,Kandy,1986-03-02,8.0,wickets
365,West Indies,England,England,Port of Spain,1986-03-04,5.0,wickets
366,Sri Lanka,Pakistan,no result,Moratuwa,1986-03-08,6.0,wickets
367,Sri Lanka,Pakistan,Pakistan,Colombo (SSC),1986-03-11,8.0,wickets
368,New Zealand,Australia,New Zealand,Dunedin,1986-03-19,30.0,runs
369,West Indies,England,West Indies,Bridgetown,1986-03-19,135.0,runs
370,New Zealand,Australia,New Zealand,Christchurch,1986-03-22,53.0,runs
371,New Zealand,Australia,Australia,Wellington,1986-03-26,3.0,wickets
372,New Zealand,Australia,Australia,Auckland,1986-03-29,44.0,runs
373,Sri Lanka,Pakistan,Pakistan,Colombo (PSS),1986-03-30,81.0,runs
374,Bangladesh,Pakistan,Pakistan,Moratuwa,1986-03-31,7.0,wickets
375,West Indies,England,West Indies,Port of Spain,1986-03-31,8.0,wickets
376,Sri Lanka,Bangladesh,Sri Lanka,Kandy,1986-04-02,7.0,wickets
377,Sri Lanka,New Zealand,New Zealand,Colombo (RPS),1986-04-05,6.0,wickets
378,Sri Lanka,Pakistan,Sri Lanka,Colombo (SSC),1986-04-06,5.0,wickets
379,New Zealand,Pakistan,Pakistan,Colombo (SSC),1986-04-07,4.0,wickets
380,India,New Zealand,India,Sharjah,1986-04-10,3.0,wickets
381,Australia,Pakistan,Pakistan,Sharjah,1986-04-11,8.0,wickets
382,India,Sri Lanka,India,Sharjah,1986-04-13,3.0,wickets
383,New Zealand,Pakistan,Pakistan,Sharjah,1986-04-15,10.0,wickets
384,India,Pakistan,Pakistan,Sharjah,1986-04-18,1.0,wicket
385,England,India,India,The Oval,1986-05-24,9.0,wickets
386,England,India,England,Manchester,1986-05-26,5.0,wickets
387,England,New Zealand,New Zealand,Leeds,1986-07-16,47.0,runs
388,England,New Zealand,England,Manchester,1986-07-18,6.0,wickets
389,India,Australia,India,Jaipur,1986-09-07,7.0,wickets
390,India,Australia,Australia,Srinagar,1986-09-09,3.0,wickets
391,India,Australia,no result,Hyderabad (Deccan),1986-09-24,3.0,wickets
392,India,Australia,India,Delhi,1986-10-02,3.0,wickets
393,India,Australia,India,Ahmedabad,1986-10-05,52.0,runs
394,India,Australia,Australia,Rajkot,1986-10-07,7.0,wickets
395,Pakistan,West Indies,West Indies,Peshawar,1986-10-17,4.0,wickets
396,Pakistan,West Indies,West Indies,Gujranwala,1986-11-04,17.0,runs
397,Pakistan,West Indies,West Indies,Sialkot,1986-11-14,4.0,wickets
398,Pakistan,West Indies,West Indies,Multan,1986-11-17,89.0,runs
399,Pakistan,West Indies,Pakistan,Hyderabad (Sind),1986-11-18,11.0,runs
400,India,Sri Lanka,India,Sharjah,1986-11-27,7.0,wickets
401,Pakistan,West Indies,West Indies,Sharjah,1986-11-28,9.0,wickets
402,India,West Indies,West Indies,Sharjah,1986-11-30,33.0,runs
